Backbone,Config FIle Name,Active Params,# Layers,Head Dim,# Heads,Hidden Dim,Intermediate Dim
llama,tahoe_llama_31911552,31911552,8,72,8,576,2304
llama,tahoe_llama_46577712,46577712,8,58,12,696,2784
llama,tahoe_llama_58562784,58562784,4,92,12,1104,4416
llama,tahoe_llama_30335984,30335984,4,86,8,688,2752
llama,tahoe_llama_60671280,60671280,8,86,8,688,2752
llama,tahoe_llama_156142032,156142032,8,92,12,1104,4416
gpt,tahoe_gpt_42537024,42537024,8,72,8,576,2304
gpt,tahoe_gpt_62089464,62089464,8,58,12,696,2784
gpt,tahoe_gpt_78071568,78071568,4,92,12,1104,4416
gpt,tahoe_gpt_22757664,22757664,4,86,8,688,2752
gpt,tahoe_gpt_45513952,45513952,8,86,8,688,2752
gpt,tahoe_gpt_117123360,117123360,8,92,12,1104,4416
llama,replogle_llama_8849104,8849104,8,41,8,328,1024
llama,replogle_llama_9657984,9657984,4,56,8,448,1792
llama,replogle_llama_23290296,23290296,8,41,12,492,1968
llama,replogle_llama_21712320,21712320,4,56,12,672,2688
llama,replogle_llama_4424880,4424880,4,41,8,328,1024
llama,replogle_llama_11645640,11645640,4,41,12,492,1968
gpt,replogle_gpt_11538696,11538696,8,41,8,328,1024
gpt,replogle_gpt_12872384,12872384,4,56,8,448,1792
gpt,replogle_gpt_31043724,31043724,8,41,12,492,1968
gpt,replogle_gpt_28942368,28942368,4,56,12,672,2688
gpt,replogle_gpt_5769512,5769512,4,41,8,328,1024
gpt,replogle_gpt_15522108,15522108,4,41,12,492,1968
